,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude,yearintcolumn
2371889,2013-01-01,20.774,0.144,Fort Lauderdale,United States,26.52N,80.60W,2013
2375116,2012-01-01,-0.9259999999999996,0.288,Fort Wayne,United States,40.99N,85.21W,2012
2375128,2013-01-01,-2.051,0.214,Fort Wayne,United States,40.99N,85.21W,2013
2377441,2012-01-01,9.359,0.204,Fort Worth,United States,32.95N,96.70W,2012
2377453,2013-01-01,8.597999999999999,0.253,Fort Worth,United States,32.95N,96.70W,2013
2400707,2012-01-01,9.993,0.625,Fremont,United States,37.78N,122.03W,2012
2400719,2013-01-01,8.32,0.278,Fremont,United States,37.78N,122.03W,2013
2404829,2012-01-01,8.607999999999999,0.669,Fresno,United States,36.17N,119.34W,2012
2404841,2013-01-01,6.501,0.425,Fresno,United States,36.17N,119.34W,2013
2428378,2012-01-01,15.113,0.665,Fullerton,United States,32.95N,117.77W,2012
2428390,2013-01-01,13.404000000000002,0.552,Fullerton,United States,32.95N,117.77W,2013
2461624,2012-01-01,13.716,0.313,Gainesville,United States,29.74N,83.08W,2012
2461636,2013-01-01,16.127,0.352,Gainesville,United States,29.74N,83.08W,2013
2490040,2012-01-01,15.113,0.665,Garden Grove,United States,32.95N,117.77W,2012
2490052,2013-01-01,13.404000000000002,0.552,Garden Grove,United States,32.95N,117.77W,2013
2494534,2012-01-01,9.359,0.204,Garland,United States,32.95N,96.70W,2012
2494546,2013-01-01,8.597999999999999,0.253,Garland,United States,32.95N,96.70W,2013
2569300,2012-01-01,12.406,0.19,Gilbert,United States,32.95N,112.02W,2012
2569312,2013-01-01,9.58,0.29,Gilbert,United States,32.95N,112.02W,2013
2591415,2012-01-01,12.406,0.19,Glendale,United States,32.95N,112.02W,2012
2591427,2013-01-01,9.58,0.29,Glendale,United States,32.95N,112.02W,2013
2593392,2012-01-01,11.581,0.6940000000000001,Glendale,United States,34.56N,118.70W,2012
2593404,2013-01-01,8.812999999999999,0.6509999999999999,Glendale,United States,34.56N,118.70W,2013
2645540,2012-01-01,9.359,0.204,Grand Prairie,United States,32.95N,96.70W,2012
2645552,2013-01-01,8.597999999999999,0.253,Grand Prairie,United States,32.95N,96.70W,2013
